age_group,base_life_expectancy,smoking,exercise,diet,alcohol,sleep,stress,social_connections,lifestyle_impact,adjusted_life_expectancy,years_lost,years_gained,risk_score
50-54,29.4,current_heavy,light,poor,heavy,excellent,high,isolated,-23.400000000000002,5.9999999999999964,23.400000000000002,0.0,96.80000000000001
40-44,39.0,never,moderate,poor,heavy,good,low,limited,-9.1,29.9,9.1,0.0,68.2
25-29,53.4,current_light,light,poor,light,good,low,strong,-7.999999999999999,45.4,7.999999999999999,0.0,66.0
25-29,53.4,former,vigorous,good,heavy,poor,high,moderate,-10.6,42.8,10.6,0.0,71.2
20-24,58.2,never,moderate,average,heavy,poor,minimal,isolated,-9.0,49.2,9.0,0.0,68.0
35-39,43.8,never,moderate,excellent,moderate,excellent,minimal,limited,3.6999999999999997,47.5,0.0,3.6999999999999997,42.6
25-29,53.4,current_heavy,light,average,none,poor,moderate,limited,-15.499999999999998,37.9,15.499999999999998,0.0,81.0
25-29,53.4,current_heavy,sedentary,good,light,poor,moderate,limited,-17.2,36.2,17.2,0.0,84.4
35-39,43.8,former,light,poor,light,good,high,moderate,-11.0,32.8,11.0,0.0,72.0
55-59,24.6,never,sedentary,good,moderate,average,low,isolated,-8.899999999999999,15.700000000000003,8.899999999999999,0.0,67.8
35-39,43.8,current_heavy,sedentary,average,light,excellent,moderate,strong,-11.499999999999996,32.3,11.499999999999996,0.0,73.0
65-69,15.0,current_heavy,sedentary,excellent,none,excellent,high,strong,-9.399999999999999,5.600000000000001,9.399999999999999,0.0,68.8
25-29,53.4,never,vigorous,average,light,excellent,high,strong,1.2999999999999998,54.699999999999996,0.0,1.2999999999999998,47.4
40-44,39.0,never,moderate,average,light,average,low,limited,-3.0,36.0,3.0,0.0,56.0
25-29,53.4,never,vigorous,average,moderate,good,high,isolated,-6.3,47.1,6.3,0.0,62.6
45-49,34.2,current_heavy,moderate,good,light,excellent,minimal,limited,-6.6,27.6,6.6,0.0,63.2
60-64,19.8,current_light,sedentary,good,moderate,good,low,moderate,-10.5,9.3,10.5,0.0,71.0
40-44,39.0,current_heavy,sedentary,good,moderate,poor,low,limited,-17.2,21.8,17.2,0.0,84.4
50-54,29.4,former,sedentary,good,moderate,average,low,strong,-6.3999999999999995,23.0,6.3999999999999995,0.0,62.8
50-54,29.4,current_heavy,light,good,heavy,poor,moderate,strong,-16.400000000000002,12.999999999999996,16.400000000000002,0.0,82.80000000000001
65-69,15.0,current_heavy,vigorous,excellent,moderate,average,minimal,moderate,-3.8,11.2,3.8,0.0,57.6
50-54,29.4,former,moderate,average,moderate,average,minimal,strong,-1.5999999999999996,27.799999999999997,1.5999999999999996,0.0,53.2
60-64,19.8,current_heavy,moderate,poor,heavy,excellent,moderate,moderate,-16.5,3.3000000000000007,16.5,0.0,83.0
65-69,15.0,current_heavy,sedentary,average,none,excellent,moderate,strong,-10.999999999999996,4.0000000000000036,10.999999999999996,0.0,72.0
40-44,39.0,current_heavy,light,excellent,light,average,high,strong,-9.8,29.2,9.8,0.0,69.6
25-29,53.4,never,vigorous,excellent,none,poor,low,limited,2.3999999999999995,55.8,0.0,2.3999999999999995,45.2
50-54,29.4,never,vigorous,good,none,poor,minimal,moderate,2.5,31.9,0.0,2.5,45.0
60-64,19.8,current_light,light,poor,moderate,poor,high,limited,-18.1,1.6999999999999993,18.1,0.0,86.2
65-69,15.0,current_heavy,sedentary,poor,heavy,good,minimal,moderate,-19.0,0.0,19.0,0.0,88.0
25-29,53.4,current_heavy,vigorous,poor,moderate,average,low,strong,-9.399999999999999,44.0,9.399999999999999,0.0,68.8
30-34,48.6,never,vigorous,poor,heavy,excellent,minimal,limited,-3.600000000000001,45.0,3.600000000000001,0.0,57.2
25-29,53.4,current_light,light,excellent,light,average,moderate,limited,-7.300000000000001,46.099999999999994,7.300000000000001,0.0,64.6
25-29,53.4,current_heavy,moderate,average,light,poor,minimal,limited,-11.199999999999998,42.2,11.199999999999998,0.0,72.39999999999999
45-49,34.2,never,sedentary,poor,moderate,average,low,isolated,-12.100000000000001,22.1,12.100000000000001,0.0,74.2
25-29,53.4,current_light,vigorous,poor,none,excellent,high,limited,-8.8,44.599999999999994,8.8,0.0,67.6
60-64,19.8,current_heavy,vigorous,good,moderate,poor,minimal,isolated,-10.7,9.100000000000001,10.7,0.0,71.4
40-44,39.0,current_heavy,light,good,light,poor,moderate,strong,-11.599999999999998,27.400000000000002,11.599999999999998,0.0,73.19999999999999
45-49,34.2,former,moderate,excellent,heavy,poor,low,moderate,-6.6,27.6,6.6,0.0,63.2
